Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[11; 5; 10; 2; 8; 4; 6; 7; 9; 15; 14; 3; 1; 12; 13],17,78315,431053,3741866,24369964,3820181,24801017,30,73937,401613,4355463,28235499,4429400,28637112
[5; 2; 13; 15; 7; 14; 8; 10; 11; 12; 9; 3; 4; 6; 1],15,77175,423624,3613102,23587064,3690277,24010688,30,73937,401613,4355463,28235499,4429400,28637112
[8; 14; 11; 9; 1; 2; 3; 5; 4; 6; 12; 10; 7; 15; 13],18,77574,425818,3840960,25046091,3918534,25471909,30,73937,401613,4355463,28235499,4429400,28637112
[7; 10; 2; 14; 13; 4; 3; 11; 6; 15; 8; 9; 1; 12; 5],16,78253,430784,3684260,24016224,3762513,24447008,30,73937,401613,4355463,28235499,4429400,28637112
[3; 12; 9; 15; 6; 5; 11; 13; 14; 4; 8; 7; 10; 1; 2],19,80879,448945,3824121,24907089,3905000,25356034,30,73937,401613,4355463,28235499,4429400,28637112
[8; 11; 3; 15; 4; 10; 14; 9; 2; 7; 6; 1; 5; 12; 13],18,75761,414415,3759234,24502680,3834995,24917095,30,73937,401613,4355463,28235499,4429400,28637112
[6; 4; 9; 8; 10; 7; 15; 5; 1; 14; 2; 3; 12; 13; 11],18,79706,440184,3812719,24858923,3892425,25299107,30,73937,401613,4355463,28235499,4429400,28637112
[15; 2; 6; 7; 3; 12; 1; 8; 11; 10; 4; 14; 5; 9; 13],20,78735,432360,3709976,24211360,3788711,24643720,30,73937,401613,4355463,28235499,4429400,28637112
[11; 8; 13; 14; 1; 10; 5; 12; 3; 15; 2; 4; 6; 7; 9],18,76369,418432,3760820,24515736,3837189,24934168,30,73937,401613,4355463,28235499,4429400,28637112
[1; 5; 13; 2; 6; 9; 14; 12; 4; 15; 3; 8; 7; 10; 11],17,78782,432640,3579536,23385507,3658318,23818147,30,73937,401613,4355463,28235499,4429400,28637112
[15; 3; 4; 2; 13; 6; 10; 5; 11; 9; 7; 8; 1; 12; 14],19,80109,441028,3938283,25683069,4018392,26124097,30,73937,401613,4355463,28235499,4429400,28637112
[9; 2; 14; 13; 11; 1; 10; 15; 8; 7; 5; 12; 4; 3; 6],16,77674,426744,3647432,23852905,3725106,24279649,30,73937,401613,4355463,28235499,4429400,28637112
[6; 15; 7; 5; 13; 4; 2; 1; 8; 14; 3; 9; 11; 10; 12],18,79546,438816,3759350,24553854,3838896,24992670,30,73937,401613,4355463,28235499,4429400,28637112
[10; 13; 3; 7; 4; 6; 14; 12; 11; 8; 2; 5; 1; 9; 15],19,79535,437547,3878615,25260773,3958150,25698320,30,73937,401613,4355463,28235499,4429400,28637112
[6; 13; 11; 15; 14; 5; 1; 10; 8; 7; 4; 9; 12; 2; 3],17,78620,435015,3798531,24790800,3877151,25225815,30,73937,401613,4355463,28235499,4429400,28637112
[8; 10; 14; 11; 6; 15; 4; 9; 2; 3; 5; 7; 1; 12; 13],20,78582,431281,3777581,24593555,3856163,25024836,30,73937,401613,4355463,28235499,4429400,28637112
